"BOC","OC","BOCDescription"
"3171","31","LAW ENFORCEMENT FIREARMS"
"3172","31","LAWENFORCFIRARMSTE"
"3198","31","SUPPLY FUND DIRECT DELIVERY"
"3199","31","SUPPLY FUND EQUIPMENT ORDERS"
"3210","32","LAND"
"3215","32","IMPROVEMENTS TO LAND"
"3216","32","IMPROVEMENTS TO LAND, NON-CAP"
"3220","32","BUILDINGS"
"3221","32","SITE PREP FOR INFO SYS TECH"
"3222","32","LAND,BLDG,ETC. CAP LEASES"
"3223","32","BLDGS & FACILITIES-NOT CAP"
"3224","32","BLDGS UNDER CAP LEASES,NOT CAP"
"3225","32","TELECOMMUNICATION EQUIPMENT"
"3226","32","TELECOMMUNICATIONS, NOT CAP"
"3227","32","SITE PRP INFO TECH SYS NOT CAP"
"3230","32","LEASEHOLD IMPROVEMENTS, CAP"
"3231","32","LEASEHOLD IMPROVE-NOT CAP"
"3240","32","OTHER STRUCTURES & FACILITIES"
"3241","32","OTH STRUCTURES & FAC, NOT CAP"
"3252","32","DEC EMERY CLEANUP LAND NON-CAP"
"3253","32","DEC EMERG CLEANUP LAND CAP"
"3254","32","DEMOLITION OF BLDGS&STRUCT NCA"
"3255","32","HAZ WASTE CLNUP, BLDG&STRC N/C"
"3256","32","REO ACQUISTION COST"
"3257","32","REO PROPERTY IMPROVEMENTS"
"3259","32","CREDIT REFORM RMB D LOAN-VBA"
"3260","32","ENERGY PROJECTS - CAPITALIZED"
"3261","32","ENERGY PRJ - NON-CAPITALIZED"
"3270","32","HERITAGE BLDG & STRUCTURES"
"3310","33","PROPERTY ACQUISITIONS"
"3320","33","PREMIUMS/DISC FOR INS PRG"
"3321","33","CLAIMS RECV-LOAN GUAR-VBA ONLY"
"3322","33","LOAN CLAIM&SVC REFUND/REPURCH"
"4107","41","CHAPTER 31 TUITION & FEES"
"4108","41","CHAPTER 31 BOOKS"
"4109","41","CHAPTER 31 SUPPLIES"
"4110","41","REHABILITATION BENEFITS - VBA"
"4112","41","CHAPTER 31 HANDLING CHARGES"
"4113","41","CHAPTER 31 TUTORIAL EXPENSE"
"4115","41","HOUSING STAGE PAYMENTS"
"4116","41","LOAN SUBSIDY"
"4117","41","RE-ESTIMATES OF LOAN SUBSIDY"
"4119","41","HOME IMPROV & STRUC ALLOC BENE"
"4120","41","GRANTS SVCS TO HOMELESS VETS"
"4121","41","GRANTS-VHASUPSVCSVETFHOM"
"4122","41","DO NOT USE RESERVED GRANTMGSVC"
"4123","41","DO NOT USE RESERVED GRANTMGSVC"
"4124","41","GRANTS - VHASTHOMECONS"
"4127","41","STATE APPROVING AGENCY (SAA)"
"4130","41","SUBSIDIES&GRANTS/INS & IND FDS"
"4131","41","GRANTS NCACEMGS"
"4132","41","GRANTS-VHASHPCVSHOMES"
"2645","26","BOOKS,PERIODICALS & NEWSPAPERS"
"2647","26","AUDIOVISUAL SOFTWARE"
"2650","26","FUEL OIL (HEATING/DIESEL)"
"2651","26","COAL"
"2652","26","LIQ PETROLEUM GAS/PROPANE"
"2654","26","FUEL - FLEET VEHICLES ONLY"
"2655","26","AUTO GASOLINE - NON FLEET VEH"
"2656","26","LIQ PETROLEUM GAS -NON FLEET"
"2657","26","DIESEL/DISTILLATE NON FLEET"
"2658","26","OTHER NON-RENEWABLE FUEL NF"
"2659","26","RENEWABLE FUEL NON FLEET"
"2660","26","OPERATING SUPPLIES AND MATERIA"
"2665","26","LINEN ITEMS"
"2666","26","EMPLOYEE UNIF & PROT CLOTHING"
"2670","26","MAINT SUPPLIES AND MATERIALS"
"2674","26","OXYGEN EQUIPMENT AND SUPPLIES"
"2690","26","S&R REPAIR PARTS, INV."
"2691","26","FLAGS"
"2692","26","PROSTHETIC SUPPLIES"
"2693","26","HOME DIALYSIS EQUIP AND SUPPLY"
"2696","26","SUPPLY INVENTORY-HELD FOR SALE"
"3110","31","TRANSPORTATION EQUIP-PSNGR VEH"
"3111","31","TRANS EQUIP-PSGR VEH, NOT CAP"
"3112","31","TRANSP EQ - NON-PSNGR VEHICLES"
"3113","31","TRANS EQUIP-N-PSGR VEH,NOT CAP"
"3120","31","FURN & FIXTURES, CAP"
"3121","31","OFFICE EQUIPMENT, CAP"
"3122","31","IT SERVER& DATA STORAGE SYS"
"3123","31","IT VIDEOCONFEREQPT"
"3124","31","INTERNAL USE SFTWAE ID-CAPT"
"3125","31","TELECOMM EQ (DATA) PURCHASED"
"3126","31","FURNITURE & FIXTURES, NOT CAP"
"3127","31","OFFICE EQUIPMENT, NOT CAP"
"3128","31","IT NETWORK EQUIPMENT"
"3129","31","IT PERIPHERAL DEVICE"
"3130","31","MED, DENTAL AND SCIENTIFIC EQ"
"3131","31","MED, DENTAL, SCIENT EQ, N CAP"
"3132","31","INTERNAL USE SOFTWARE (COTS) C"
"3133","31","TELECOMM EQUIPMENT, NON CAP  P"
