CostCenter,CCName
"120000","OFFICE OF THE GENERAL COUNSEL"
"120001","NORTH ATLANTIC DISTRICT NORTH"
"120002","NORTH ATLANTIC DISTRICT SOUTH"
"120004","DISTRICT CONTRACTING NPG"
"120005","SOUTH EAST DISTRICT NORTH"
"120006","SOUTH EAST DISTRICT SOUTH"
"120007","MIDWEST DISTRICT EAST"
"120010","ADMIN & TORTS LAW GROUP"
"120011","MIDWEST DISTRICT WEST"
"120013","CONTINENTAL DISTRICT EAST"
"120016","CONTINENTIAL DISTRICT WEST"
"120017","MIDWEST DISTRICT WEST"
"120018","PACIFIC DISTRICT NORTH"
"120019","PACIFIC DISTRICT SOUTH"
"120020","BENEFIT LAW GROUP"
"120022","LOAN GUARANTY NPG"
"120023","COLLECTIONS NPG"
"120024","GENERAL COUNSEL REG 20 (6480)"
"120030","HEALTH CARE LAW GROUP"
"120031","STAR TEAM"
"120032","ETHICS SPECIALIST TEAM"
"120040","INFORMATION LAW GROUP"
"120050","CONTRACT LAW GROUP"
"120051","GC PERSONNEL LAW GROUP"
"120055","MGMT PLANNING & ANALYSIS"
"120056","CT APPEALS VET CLAIMS LIT"
"120057","REAL PROPERTY LAW GROUP"
"120058","PROCUREMENT LAW GROUP"
"120061","GC OFC OF REGIONAL COUNSE*L"
"120062","GC OFC OF REGIONAL COUNSEL"
"120070","GENER COUN WINSTON SALEM LEA"
"120071","GENERAL COUN NASHVILLE LEASE"
"120072","GENERAL COUN ROANOKE LEASE"
"120073","GENERAL COUN HUNTINGTON LEAS"
"120074","GENERAL COUN AKRON LEASE"
"120075","COOP RES &DEV AGREEMENT"
"120076","GENERAL COUN INDIANAPOLIS LEA"
"120100","OGC COLLECTIONS NPG REIMB"
"120200","OGC LOAN GUARANTY NPG REIMB"
"120300","OGC PROCUREMENT LG REIMB"
"120400","OGC DISTRICT CONTRACT NPG REI"
"260000","PERSHING HALL"
"261000","PERSHING HALL"
"100000","GENERAL ADMIN CENTRL OFC STAF"
"110100","OFFICE OF THE SECRETARY"
"110200","EXEC DIRECTOR, OFFICE OF CFM"
"110201","OFFICE OF FACILITIES PLANNING"
"110202","FACILITIES STANDARDS SERVICE"
"110203","COST ESTIMATION A/E EVAL SVC"
"110204","RESOURCE MANAGEMENT OFFICE"
"110205","FINANCIAL MANAGEMENT SERVICE"
"110206","DATABASE MGMT & LOGISTIC SVC"
"110207","QUALITY ASSURANCE SERVICE"
"110208","OFFICE OF OPERATIONS"
"110325","OALC FRONT OFFICE CFM PORTION"
"110327","FACILITIES PLANNING DEV SVC"
"110328","OFFICE OF FACILITIES ACQ"
"110329","ENVIRONMENTAL SERVICE"
"110330","CONTRACTING OFFICERS ERO"
"110331","CONTRACTING OFFICERS CRO"
"110332","CONTRACTING OFFICERS WRO"
"110333","CONTRACTING OFFICERS NCA"
"110350","LEASE RESIDENT ENGINEERS"
"110351","NCA/VBA RESIDENT ENGINEERS"
"110352","MAJOR CONSTRUCTION SEISMIC"
"110353","SEISMIC CONTRACTING OFFICERS"
"110355","NCA/VBA REGION HQ"
"110357","EASTERN REGIONAL OFFICE - PLAN"
"110358","CENTRAL REGIONAL OFFICE - PLAN"
"110359","WESTERN REGIONAL OFFICE - PLAN"
"110400","ACCOUNTABILITY & WHISTLEBLOW"
"110500","BOARD OF VETERANS APPEALS"
"110501","CHRMN MEMBERS/EXECUTIVE"
"110600","VET ELECTRONIC HEALTH RECORD"
"110700","CENTER FOR MINORITY VETERANS"
"110800","CENTER FOR WOMEN VETERANS"
"110900","SR EXEC LEADERSHIP DEVELOP PR"
"111000","OFC OF EMP DISCRIM COMPLNT AD"
"111100","OFC OF REGULATN POLICY & MGMT"
"111200","CTR FAITH BASED&COMMUNTY INT"
