ExcelTemplate,TransInitials,TransType,EXP_REV_GL_BG,FilePath,LogBook
"EW-GIP","EW","01","E","No File Path","TABLE_JV_EWGIP_LogBook"
"EB to Suspense","EB","01","E","No File Path","TABLE_JV_EB_LogBook"
"EB-01","EB","01","E","No File Path","TABLE_JV_EB_LogBook"
"EW-01 Normal","EW","01","E","No File Path","TABLE_JV_EW_LogBook"
"EW-01 to Suspense","EW","01","E","No File Path","TABLE_JV_EW_LogBook"
"EW-56","EW","56","E","No File Path","TABLE_JV_EW_LogBook"
"EB-GIP","EB","01","E","No File Path","TABLE_JV_EBGIP_LogBook"
"CC Accrual","SV","CC","E","No File Path","None"
"EB-56","EB","56","E","No File Path","TABLE_JV_EB_LogBook"
"EB-03","EB","03","G","No File Path","TABLE_JV_EB_LogBook"
