BOC,VendorNumber
1101,"MISCE"
1102,"MISCE"
1103,"MISCE"
1104,"MISCE"
1105,"MISCE"
1107,"MISCE"
1108,"MISCE"
1109,"MISCE"
1110,"MISCE"
1114,"MISCE"
1115,"MISCE"
1116,"MISCE"
1117,"MISCE"
1119,"MISCE"
1120,"MISCE"
1123,"MISCE"
1124,"MISCE"
1125,"MISCE"
1128,"MISCE"
1130,"MISCE"
1132,"MISCE"
1134,"MISCE"
1136,"MISCE"
1138,"MISCE"
1150,"MISCE"
1151,"MISCE"
1154,"MISCE"
1203,"MISCE"
1204,"01680422017"
1205,"MISCE"
1208,"MISCE"
1210,"MISCE"
1212,"02484240000"
1214,"09900000000"
1216,"02481350000"
1217,"MISCE"
1218,"02484400000"
1219,"MISCE"
1220,"09900000000"
1221,"MISCE"
1222,"02481350000"
1223,"02481350000"
1224,"MISCE"
1225,"09900000000"
1226,"09900000000"
1232,"02481350000"
1233,"02481350000"
1234,"MISCE"
1235,"MISCE"
1236,"MISCE"
1237,"02481350000"
1238,"02481350000"
1288,"340727612"
1301,"MISCE"
1303,"MISCE"
2521,"MISCE"
